hotelId,hotelCityCode,hotelName,hotelPic,hotelScore,hotelTag,hotelUrl,hotelPrice,hotelLongitude,hotelLatitude
1,XMN,厦门泰谷酒店,http://dimg11.c-ctrip.com/images/200c0d0000006tqneC7EE_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/346248.html,427,118.080454,24.449381
2,XMN,厦门海岸国际酒店,http://dimg11.c-ctrip.com/images/20080d0000006tmn8F65C_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/385410.html,295,118.073532,24.456595
3,XMN,成旅晶赞酒店（厦门枫悦店）（原枫悦大酒店）,http://dimg13.c-ctrip.com/images/200e0d0000006tmy08FAE_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/392553.html,388,118.112619,24.493553
4,XMN,厦门华侨大厦,http://dimg13.c-ctrip.com/images/200a0d0000006su2lFD3C_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/419463.html,367,118.085947,24.455338
5,XMN,厦门米仑酒店,http://dimg12.c-ctrip.com/images/200o0d0000006sty06964_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/429062.html,171,118.097681,24.469804
6,XMN,厦门鹭江宾馆,http://dimg10.c-ctrip.com/images/200j0d0000006tnx2009A_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/429225.html,499,118.074929,24.453615
7,XMN,厦门美仑方之缘酒店,http://dimg12.c-ctrip.com/images/20090d0000006stfa9321_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/432094.html,258,118.079274,24.458225
8,XMN,厦门金后酒店,http://dimg13.c-ctrip.com/images/200k0d0000006ssl378EE_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/436708.html,222,118.08556,24.455938
9,XMN,厦门美仑金悦酒店,http://dimg11.c-ctrip.com/images/200h0d0000006tmwrD360_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/467592.html,180,118.102833,24.468528
10,XMN,厦门鼓浪屿芒果树旅馆,http://dimg10.c-ctrip.com/images/200p0d0000006tc2e5740_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/467612.html,405,118.064296,24.444748
11,XMN,厦门圣希罗酒店,http://dimg11.c-ctrip.com/images/200m0d0000006tsnf3C21_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/469816.html,238,118.133643,24.493697
12,XMN,厦门鼓浪屿磐诺假日酒店,http://dimg12.c-ctrip.com/images/200v0e000000779gr416B_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/482751.html,535,118.059999,24.446144
13,XMN,厦门素年海边度假别墅,http://dimg11.c-ctrip.com/images/fd/hotel/g3/M01/0F/79/CggYG1biV0qAHA-SAAKfZunH8hc985_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1603567.html,238,118.143893,24.434926
14,XMN,厦门海棠度假屋,http://dimg13.c-ctrip.com/images/200d0d0000006stneC1D9_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1669085.html,160,118.115764,24.43541
15,XMN,厦门罗约海滨温泉酒店,http://dimg13.c-ctrip.com/images/fd/hotel/g2/M08/58/10/CghzgVVdj2OAXnLgAAEu7WqzB90489_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1914691.html,500,118.05653,24.555225
16,XMN,厦门君怡酒店,http://dimg12.c-ctrip.com/images/200c0d0000006trib910F_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2290014.html,265,118.1313,24.503881
17,XMN,斯铂瑞城市酒店（厦门中山路步行街店）,http://dimg13.c-ctrip.com/images/200j0d0000006sv8dF31D_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2297567.html,282,118.086175,24.45612
18,XMN,厦门香克斯酒店,http://dimg10.c-ctrip.com/images/200w070000002kexmAFEC_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2492767.html,201,118.12553,24.469411
19,XMN,厦门伊禾酒店,http://dimg11.c-ctrip.com/images/200h0400000000wxj7890_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/3243942.html,315,118.082275,24.45588
20,XMN,厦门隐舍轻奢海景度假酒店,http://dimg12.c-ctrip.com/images/200n070000002nzxgE157_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/3803569.html,385,118.157879,24.44291
21,XMN,厦门钓·纯海轻奢驿馆,http://dimg12.c-ctrip.com/images/fd/hotel/g5/M07/82/DC/CggYr1cdgPOAW9vAAAG5m12BFUw461_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/5028626.html,163,118.142198,24.430286
22,XMN,厦门一格海景度假驿栈,http://dimg10.c-ctrip.com/images/2001050000000wwrp56E0_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/5449230.html,337,118.11634,24.428822
23,XMN,厦门海旅温德姆至尊酒店,http://dimg11.c-ctrip.com/images/200m0f0000007d7539BC6_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/5548882.html,556,118.041381,24.456007
24,XMN,厦门永丽达花园酒店,http://dimg13.c-ctrip.com/images/20010d0000006ttmi2303_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/6112181.html,510,118.083683,24.454442
25,XMN,桔子酒店·精选（厦门中山路步行街店）,http://dimg13.c-ctrip.com/images/200e0c0000006o95p6DFF_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/6599741.html,319,118.082028,24.452665
26,SZX,深圳宝轩酒店,http://dimg12.c-ctrip.com/images/hotel/88000/87002/a6d643cd02444a61b28097bee0a512f0_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/346485.html,398,114.113179,22.537748
27,SZX,深圳凯美豪盛酒店,http://dimg13.c-ctrip.com/images/200s0c00000066votC10F_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/426195.html,257,114.121124,22.533165
28,SZX,深圳澳城花园酒店,http://dimg11.c-ctrip.com/images/fd/hotel/g3/M09/1D/70/CggYGVYC9tqABWnHAAL_kKCP5dg857_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/433471.html,344,113.937248,22.488298
29,SZX,深圳大梅沙湾游艇度假酒店,http://dimg13.c-ctrip.com/images/20010a0000004z38610C8_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/433905.html,800,114.312047,22.59821
30,SZX,深圳华强北华霆酒店（原华霆酒店）,http://dimg12.c-ctrip.com/images/hotel/27000/26807/711C3052-1A39-4E48-858D-D5A0A55CB065_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/435400.html,313,114.095571,22.54322
31,SZX,深圳楚天大酒店,http://dimg12.c-ctrip.com/images/hotel/20000/19582/a5dbdc00310a43d580a7738acb93530d_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/450229.html,315,114.047436,22.52777
32,SZX,深圳百合酒店,http://dimg10.c-ctrip.com/images/t1/hotel/457000/456141/f29fbfb3489d4624824a06174f09ac72_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/456141.html,476,114.120419,22.598776
33,SZX,深圳中南海怡酒店,http://dimg10.c-ctrip.com/images/hotel/458000/457399/c2361b8110b74e1c8f26c4ba86fc9ff4_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/457399.html,579,114.024104,22.537258
34,SZX,皇朝商务酒店（深圳皇岗口岸店）,http://dimg12.c-ctrip.com/images/hotel/417000/416243/fec7c7cddf5648ad8d205da3e0e71107_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/486124.html,275,114.071552,22.524738
35,SZX,深圳怡景湾大酒店,http://dimg12.c-ctrip.com/images/hotel/100000/99798/82dca65edb7e4252ae8f664dffafe447_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/486533.html,317,114.214877,22.718995
36,SZX,深圳景田酒店,http://dimg11.c-ctrip.com/images/hotel/20000/19728/928d3fcc9e4b41298da505b49187e365_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/533870.html,741,114.044479,22.552776
37,SZX,深圳中南海悦大酒店,http://dimg10.c-ctrip.com/images/hotel/45000/44919/bcd95b430478446ea7bc1761aece56ea_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/602653.html,605,113.915626,22.52731
38,SZX,深圳鸿隆明华轮酒店,http://dimg13.c-ctrip.com/images/fd/hotel/g3/M0B/A8/79/CggYGVYNSFWAQWt3AAJLHO9jylc063_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/652002.html,559,113.916598,22.483421
39,SZX,深圳长城大酒店,http://dimg11.c-ctrip.com/images/hotel/15000/14568/24928431ce4246029354ae23efffca42_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/654875.html,371,114.106903,22.550064
40,SZX,深圳华强北华联宾馆,http://dimg12.c-ctrip.com/images/fd/hotel/g3/M04/9A/D4/CggYGlXrm_uAKwjZAAu2jBAnBNE232_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/662468.html,534,114.093981,22.541379
41,SZX,深圳呈元驿酒店公寓,http://dimg11.c-ctrip.com/images/2002060000001ujmv9FD9_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/971156.html,328,114.050452,22.525715
42,SZX,深圳罗湖口岸和颐酒店,http://dimg11.c-ctrip.com/images/2002050000000s6cnDDA9_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1355586.html,286,114.122491,22.533753
